movie_id,primary_title,start_year,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,popularity,vote_average,vote_count,original_title,title,total_gross,id,release_date,movie,production_budget,domestic_gross_income,worldwide_gross,profit,release_year
tt0359950,the secret life of walter mitty,2013,"Adventure,Comedy,Drama",7.3,275300.0,Fox,58200000.0,129900000.0,10.743,7.1,4859,The Secret Life of Walter Mitty,the secret life of walter mitty,188100000.0,37,"Dec 25, 2013",the secret life of walter mitty,91000000.0,58236838.0,187861183.0,96861183.0,2013
tt0365907,a walk among the tombstones,2014,"Action,Crime,Drama",6.5,105116.0,Uni.,26300000.0,26900000.0,19.373,6.3,1685,A Walk Among the Tombstones,a walk among the tombstones,53200000.0,67,"Sep 19, 2014",a walk among the tombstones,28000000.0,26017685.0,62108587.0,34108587.0,2014
tt0369610,jurassic world,2015,"Action,Adventure,Sci-Fi",7.0,539338.0,Uni.,652300000.0,1019.4,20.709,6.6,14056,Jurassic World,jurassic world,652301019.4,34,"Jun 12, 2015",jurassic world,215000000.0,652270625.0,1648854864.0,1433854864.0,2015
tt0376136,the rum diary,2011,"Comedy,Drama",6.2,94787.0,FD,13100000.0,10800000.0,12.011,5.7,652,The Rum Diary,the rum diary,23900000.0,16,"Oct 28, 2011",the rum diary,45000000.0,13109815.0,21544732.0,-23455268.0,2011
tt0383010,the three stooges,2012,"Comedy,Family",5.1,28570.0,Fox,44300000.0,10500000.0,9.358,5.1,215,The Three Stooges,john carter,54800000.0,4,"Apr 13, 2012",the three stooges,30000000.0,44338224.0,54052249.0,24052249.0,2012
tt0398286,tangled,2010,"Adventure,Animation,Comedy",7.8,366366.0,BV,200800000.0,391000000.0,21.511,7.5,6407,Tangled,cowboys & aliens,591800000.0,15,"Nov 24, 2010",tangled,260000000.0,200821936.0,586477240.0,326477240.0,2010
tt0401729,john carter,2012,"Action,Adventure,Sci-Fi",6.6,241792.0,BV,73100000.0,211100000.0,18.549,6.1,3338,John Carter,the stanford prison experiment,284200000.0,14,"Mar 9, 2012",john carter,275000000.0,73058679.0,282778100.0,7778100.0,2012
tt0427152,dinner for schmucks,2010,Comedy,5.9,91546.0,P/DW,73000000.0,13800000.0,6.6320000000000014,5.6,920,Dinner for Schmucks,the possession,86800000.0,51,"Jul 30, 2010",dinner for schmucks,69000000.0,73026337.0,86796502.0,17796502.0,2010
tt0429493,the a-team,2010,"Action,Adventure,Thriller",6.8,235256.0,Fox,77200000.0,100000000.0,17.097,6.3,2703,The A-Team,real steel,177200000.0,32,"Jun 11, 2010",the a-team,110000000.0,77222099.0,177241171.0,67241171.0,2010
tt0431021,the possession,2012,"Horror,Mystery,Thriller",5.9,53649.0,LGF,49100000.0,36300000.0,8.978,5.9,918,The Possession,the giver,85400000.0,81,"Aug 31, 2012",the possession,14000000.0,49130588.0,82925064.0,68925064.0,2012
tt0433035,real steel,2011,"Action,Drama,Family",7.1,283534.0,BV,85500000.0,213800000.0,14.811,6.8,4566,Real Steel,toy story 3,299300000.0,31,"Oct 7, 2011",real steel,110000000.0,85463309.0,263880341.0,153880341.0,2011
tt0435651,the giver,2014,"Drama,Romance,Sci-Fi",6.5,104999.0,Wein.,45100000.0,21900000.0,8.687000000000001,6.5,3075,The Giver,lincoln,67000000.0,2,"Aug 15, 2014",the giver,25000000.0,45090374.0,66540205.0,41540205.0,2014
tt0435761,toy story 3,2010,"Adventure,Animation,Comedy",8.3,682218.0,BV,415000000.0,652000000.0,24.445,7.7,8340,Toy Story 3,scott pilgrim vs. the world,1067000000.0,47,"Jun 18, 2010",toy story 3,200000000.0,415004880.0,1068879522.0,868879522.0,2010
tt0443272,lincoln,2012,"Biography,Drama,History",7.4,228701.0,BV,182200000.0,93100000.0,12.693,6.8,2261,Lincoln,puss in boots,275300000.0,73,"Nov 9, 2012",lincoln,65000000.0,182207973.0,273346281.0,208346281.0,2012
tt0446029,scott pilgrim vs. the world,2010,"Action,Comedy,Fantasy",7.5,339338.0,Uni.,31500000.0,16100000.0,14.383,7.3,3882,Scott Pilgrim vs. the World,wonder woman,47600000.0,22,"Aug 13, 2010",scott pilgrim vs. the world,85000000.0,31611316.0,48056764.0,-36943236.0,2010
tt0448694,puss in boots,2011,"Action,Adventure,Animation",6.6,133355.0,P/DW,149300000.0,405700000.0,9.078,6.3,1422,Puss in Boots,life of pi,555000000.0,46,"Oct 28, 2011",puss in boots,130000000.0,149260504.0,554987477.0,424987477.0,2011
tt0451279,wonder woman,2017,"Action,Adventure,Fantasy",7.5,487527.0,WB,412600000.0,409300000.0,31.618,7.3,12566,Wonder Woman,being flynn,821900000.0,55,"Jun 2, 2017",wonder woman,150000000.0,412563408.0,821133378.0,671133378.0,2017
tt0454876,life of pi,2012,"Adventure,Drama,Fantasy",7.9,535836.0,Fox,125000000.0,484000000.0,15.0,7.3,8723,Life of Pi,the crazies,609000000.0,88,"Nov 21, 2012",life of pi,120000000.0,124987022.0,620912003.0,500912003.0,2012
tt0455407,the crazies,2010,"Horror,Thriller",6.5,104465.0,Over.,39100000.0,15700000.0,12.246,6.2,1036,The Crazies,captain america: the first avenger,54800000.0,36,"Feb 26, 2010",the crazies,19000000.0,39123589.0,56445534.0,37445534.0,2010
tt0455944,the equalizer,2014,"Action,Crime,Thriller",7.2,302302.0,Sony,101500000.0,90800000.0,28.942,7.2,4989,The Equalizer,a long way down,192300000.0,96,"Sep 26, 2014",the equalizer,55000000.0,101530738.0,192903624.0,137903624.0,2014
tt0458339,captain america: the first avenger,2011,"Action,Adventure,Sci-Fi",6.9,668137.0,Par.,176700000.0,193900000.0,25.808000000000003,6.9,12810,Captain America: The First Avenger,the only living boy in new york,370600000.0,10,"Jul 22, 2011",captain america: the first avenger,140000000.0,176654505.0,370569776.0,230569776.0,2011
tt0464154,piranha 3d,2010,"Comedy,Horror",5.4,81327.0,W/Dim.,25000000.0,58200000.0,11.302,5.3,1029,Piranha 3D,tower heist,83200000.0,52,"Aug 20, 2010",piranha 3d,24000000.0,25003155.0,83660160.0,59660160.0,2010
tt0466893,margaret,2011,Drama,6.5,14708.0,FoxS,46500.0,18700000.0,8.747,6.3,138,Margaret,the smurfs,18746500.0,27,"Sep 30, 2011",margaret,14000000.0,47185.0,623292.0,-13376708.0,2011
